Año,Indice de explosividad volcánica,Tipo de volcán,Flag Tsunami,Flag Terremoto,Nombre y pais
1581,4,Estratovolcán,False,False,Fuego (Guatemala)
1608,3,Estratovolcán,True,False,Gamalama (Halmahera-Indonesia)
1625,5,Volcán subglacial,False,False,Katla (Iceland-S)
1660,4,Estratovolcán,False,False,Teon (Banda Sea)
1773,2,Estratovolcán,False,False,Gamalama (Halmahera-Indonesia)
1779,2,Volcán complejo,False,False,Vesuvius (Italy)
1801,2,Estratovolcán,False,False,Chokai (Honshu-Japan)
1804,3,Caldera,False,False,Shikotsu (Hokkaido-Japan)
1820,2,Estratovolcán,True,True,Westdahl (Aleutian Is)
1845,4,Estratovolcán,False,False,Hekla (Iceland-S)
1867,2,Volcán complejo,False,False,Zao (Honshu-Japan)
1870,2,Volcán en escudo,False,False,Aoba (Vanuatu-SW Pacific)
1910,,Caldera,False,False,Taupo (New Zealand)
1952,,Volcán complejo,False,False,Hakone (Honshu-Japan)
1953,2,Caldera,False,False,Aso (Kyushu-Japan)
1963,3,Estratovolcán,False,False,Irazu (Costa Rica)
1974,1,Estratovolcán,True,False,Ritter Island (New Guinea-NE of)
1986,2,Estratovolcán,False,False,Merapi (Java)
1987,3,Volcán complejo,False,False,Pacaya (Guatemala)
1990,,Escudo piroclástico,False,False,Rabaul (New Britain-SW Pac)
1993,,Estratovolcán,False,False,Pinatubo (Luzon-Philippines)
2000,2,Estratovolcán,True,True,Miyake-jima (Izu Is-Japan)
2006,1,Estratovolcán,False,False,Mayon (Luzon-Philippines)
2009,,Estratovolcán,False,False,Redoubt (Alaska-SW)
2016,,Estratovolcán,False,False,Sinabung (Sumatra)
2018,,Estratovolcán,False,False,Kusatsu-Shirane (Honshu-Japan)
2019,2,Estratovolcán,False,False,Stromboli (Italy)
-1860,6,Estratovolcán,False,False,St. Helens (US-Washington)
230,6,Caldera,False,False,Taupo (New Zealand)
1169,,Estratovolcán,True,True,Etna (Italy)
1566,3,Volcán en escudo,False,False,Kirishima (Kyushu-Japan)
1597,4,Estratovolcán,False,False,Hekla (Iceland-S)
1640,3,Estratovolcán,False,False,Tungurahua (Ecuador)
1650,4,Volcán en escudo,True,False,Santorini (Greece)
1660,4,Volcán subglacial,False,False,Katla (Iceland-S)
1672,3,Estratovolcán,False,False,Merapi (Java)
1679,,Volcán en escudo,False,True,Zukur (Red Sea)
1717,3,Volcán en escudo,False,False,Kirishima (Kyushu-Japan)
1741,4,Estratovolcán,True,False,Oshima-Oshima (Hokkaido-Japan)
1753,2,Caldera,False,False,Grimsvotn (Iceland-NE)
1780,4,Estratovolcán,True,False,Sakura-jima (Kyushu-Japan)
1817,4,Estratovolcán,False,False,Raung (Java)
1833,2,Estratovolcán,False,False,Kaba (Sumatra)
1841,2,Estratovolcán,False,False,Kuchinoerabu-jima (Ryukyu Is)
1843,0,Estratovolcán,True,False,Liamuiga (W Indies)
1871,2,Estratovolcán,True,False,Ruang (Sangihe Is-Indonesia)
1899,2,Estratovolcán,False,False,Manam (New Guinea-NE of)
1900,2,Volcán en escudo,False,False,Kirishima (Kyushu-Japan)
1928,3,Estratovolcán,False,False,Mayon (Luzon-Philippines)
1937,4,Escudo piroclástico,True,True,Rabaul (New Britain-SW Pac)
1946,2,Estratovolcán,False,False,Sakura-jima (Kyushu-Japan)
1953,0,Volcán complejo,True,False,St. Andrew Strait (Admiralty Is-SW Paci)
1976,3,Estratovolcán,False,False,Sangay (Ecuador)
1977,3,Estratovolcán,False,False,Kliuchevskoi (Kamchatka)
1981,,Estratovolcán,False,False,Mayon (Luzon-Philippines)
1992,1,Estratovolcán,False,False,Karangetang [Api Siau] (Sangihe Is-Indonesia)
1994,3,Escudo piroclástico,True,False,Rabaul (New Britain-SW Pac)
1997,2,Estratovolcán,False,False,Merapi (Java)
2005,4,Estratovolcán,False,False,Manam (New Guinea-NE of)
2006,,Estratovolcán,False,False,Raoul Island (Kermadec Is)
2014,,Estratovolcán,False,False,Fogo (Cape Verde Is)
2015,2,Estratovolcán,False,False,Manam (New Guinea-NE of)
1334,3,Estratovolcán,False,False,Kelut (Java)
1564,3,Estratovolcán,False,False,Gamkonora (Halmahera-Indonesia)
1711,3,Estratovolcán,False,False,Awu (Sangihe Is-Indonesia)
1873,,Volcán complejo,False,False,Vesuvius (Italy)
1877,4,Estratovolcán,False,False,Cotopaxi (Ecuador)
1892,3,Estratovolcán,True,False,Awu (Sangihe Is-Indonesia)
1895,2,Estratovolcán,False,False,Semeru (Java)
1895,2,Estratovolcán,False,False,Karkar (New Guinea-NE of)
1902,,Estratovolcán,True,False,Pelee (W Indies)
1904,2,Volcán en escudo,False,False,Karthala (Indian O-W)
1906,3,Volcán complejo,True,False,Vesuvius (Italy)
1928,1,Estratovolcán,False,False,Etna (Italy)
1929,3,Estratovolcán,False,False,Calbuco (Chile-S)
1930,3,Estratovolcán,False,False,Merapi (Java)
1933,3,Estratovolcán,True,False,Kharimkotan (Kuril Is)
1933,4,Estratovolcán,False,False,Kuchinoerabu-jima (Ryukyu Is)
1950,1,Estratovolcán,False,False,Semeru (Java)
1972,2,Volcán en escudo,False,False,"Fournaise, Piton de la (Indian O-W)"
1978,3,Estratovolcán,False,False,Usu (Hokkaido-Japan)
